CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
254687FQ4,0.0,4.466330653429305,1650165.0165016502,-1650165.0165016502,35.66808723,0.0035668087229999996,0.0
25468PDM5,0.0,1.4427227016005113,1650165.0165016502,-1650165.0165016502,28.40478752,0.002840478752,0.0
89114TZN5,0.0,1.8716230748361848,1650165.0165016502,-1650165.0165016502,49.29612761,0.004929612761,0.0
89114TZT2,0.0,1.9809849012868839,1650165.0165016502,-1650165.0165016502,54.80333069999999,0.005480333069999999,0.0
86562MCM0,0.0,1.8733115184542275,1650165.0165016502,-1650165.0165016502,51.09125756,0.005109125756,0.0
86562MBU3,0.0,4.172083327523116,1650165.0165016502,-1650165.0165016502,69.66804187,0.006966804187,0.0
JK7097401,0.0,1.1600180832840086,1650165.0165016502,-1650165.0165016502,50.138249,0.0050138249,0.0
86562MAY6,0.0,2.6923528324776833,1650165.0165016502,-1650165.0165016502,54.77337097000001,0.005477337097000001,0.0
86562MCJ7,0.0,5.819578701072163,1650165.0165016502,-1650165.0165016502,78.36948706,0.007836948706,0.0
86562MDG2,0.0,3.142901349616514,1650165.0165016502,-1650165.0165016502,64.3050685,0.006430506850000001,0.0
86562MCR9,0.0,2.6670619940023963,1650165.0165016502,-1650165.0165016502,64.01736522,0.006401736522,0.0
86562MCH1,0.0,1.5740165665854626,1650165.0165016502,-1650165.0165016502,48.66302974,0.004866302974,0.0
60687YAK5,0.0,1.9402339021933048,1650165.0165016502,-1650165.0165016502,45.45402416,0.0045454024160000005,0.0
06418BAE8,0.0,1.9819232029866392,1650165.0165016502,-1650165.0165016502,46.41993771,0.004641993771,0.0
86562MDB3,0.0,3.0593382570359275,1650165.0165016502,-1650165.0165016502,65.32379394,0.006532379394,0.0
